X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
-118.268996056153,34.0330169665499,61150,Metropolitan Transportation Authority (MTA),80000020,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Grand Metro Station,,,,,,,,http://www.metro.net/around/rail/blue-line/,,,63023,Blue Line,,http://egis3.lacounty.gov/lms/?p=63023,publish,34.033017,-118.268996,2012/03/22 17:13:40+00,,6480169.54643014,1834504.9592194
-118.266455056778,34.0404219664994,61151,Metropolitan Transportation Authority (MTA),80000021,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Pico Metro Station,,,,,,,,http://www.metro.net/around/rail/blue-line/,,,63024,Blue Line <em>and Expo Line (future)</em>,,http://egis3.lacounty.gov/lms/?p=63024,publish,34.040422,-118.266455,2012/03/22 17:14:24+00,,6480946.56357689,1837197.72483122
-118.258738056274,34.0487059668127,61152,Metropolitan Transportation Authority (MTA),80000022,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),7th Street / Metro Center Metro Station,660 S Figueroa St,,Los Angeles,CA,,,,http://www.metro.net/around/rail/red-line/,,,63025,Purple/Red Line/Blue Line/<em>Expo Line (future)</em>,90017,http://egis3.lacounty.gov/lms/?p=63025,publish,34.048706,-118.258738,2012/03/28 17:27:45+00,,6483292.21899055,1840206.31723922
-118.246734056033,34.054438967003,61153,Metropolitan Transportation Authority (MTA),80000029,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Civic Center Metro Station,101 S Hill St,,Los Angeles,CA,,,,http://www.metro.net/around/rail/red-line/,,,63027,"<strong>Purple / Red Line</strong>

Nearby Paid Parking (Independent)<em>
10 Bike Rack Spaces
10 Bike Lockers</em>",90013,http://egis3.lacounty.gov/lms/?p=63027,publish,34.054439,-118.246734,2012/03/22 17:01:11+00,,6486933.63985731,1842283.5184654
-118.251907056857,34.0488569672307,61154,Metropolitan Transportation Authority (MTA),80000030,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Pershing Square Metro Station,500 S Hill St,,Los Angeles,CA,,,,http://www.metro.net/around/rail/red-line/,,,63028,"<strong>Purple / Red Line</strong>

Nearby Paid Parking (Independent)<em>
4 Bike Rack Spaces</em>",90013,http://egis3.lacounty.gov/lms/?p=63028,publish,34.048857,-118.251907,2012/03/22 17:00:40+00,,6485361.63020605,1840256.01300597
-118.276328056079,34.0572299673155,61155,Metropolitan Transportation Authority (MTA),80000032,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Westlake / McArthur Park Metro Station,660 S Alvarado St,,Los Angeles,CA,,,,http://www.metro.net/around/rail/red-line/,,,63030,"<strong>Purple / Red Line</strong>

<em>18 Bike Rack Spaces
Kiss &amp; Ride Drop-Off</em>",90057,http://egis3.lacounty.gov/lms/?p=63030,publish,34.05723,-118.276328,2012/03/22 16:59:44+00,,6477972.31558838,1843322.53672856
-118.291005056454,34.0622899668534,61156,Metropolitan Transportation Authority (MTA),80000033,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Wilshire / Vermont Metro Station,3191 Wilshire Blvd,,Los Angeles,CA,,,,http://www.metro.net/around/rail/red-line/,,,63031,"<strong>Purple / Red Line</strong>

Nearby Paid Parking (Independent)<em>
8 Bike Rack Spaces
16 Bike Lockers</em>",90005 ,http://egis3.lacounty.gov/lms/?p=63031,publish,34.06229,-118.291005,2012/03/22 16:58:31+00,,6473532.08759221,1845176.50611773
-118.300211055919,34.0617529666423,61157,Metropolitan Transportation Authority (MTA),80000034,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Wilshire / Normandie Metro Station,,,,,,,,,,,63032,Purple Line,,http://egis3.lacounty.gov/lms/?p=63032,publish,34.061753,-118.300211,2011/05/03 18:53:23+00,,6470743.24179196,1844989.28208272
-118.308968056501,34.0616149667584,61158,Metropolitan Transportation Authority (MTA),80000035,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Wilshire / Western Metro Station,,,,,,,,,,,63033,Purple Line,,http://egis3.lacounty.gov/lms/?p=63033,publish,34.061615,-118.308968,2011/05/03 18:53:23+00,,6468090.79926223,1844947.09844007
-118.291682055824,34.0761569667417,61159,Metropolitan Transportation Authority (MTA),80000036,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Vermont / Beverly Metro Station,301 N Vermont Ave,,Los Angeles,CA,,,,http://www.metro.net/around/rail/red-line/,,,63034,"<strong>Red Line</strong>

<em>14 Bike Rack Spaces</em>",90004,http://egis3.lacounty.gov/lms/?p=63034,publish,34.076157,-118.291682,2012/03/22 16:58:01+00,,6473341.68541397,1850223.54622048
-118.291740056615,34.0909789671628,61160,Metropolitan Transportation Authority (MTA),80000037,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Vermont / Santa Monica Metro Station,1015 N Vermont Av,,Los Angeles,CA,,,,http://www.metro.net/around/rail/red-line/,,,63035,"<strong>Red Line</strong>

<em>18 Bike Rack Spaces
4 Bike Lockers</em>",90029,http://egis3.lacounty.gov/lms/?p=63035,publish,34.090979,-118.29174,2012/03/22 16:57:31+00,,6473339.77662514,1855617.58136414
-118.291759056441,34.098201966384,61161,Metropolitan Transportation Authority (MTA),80000038,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Vermont / Sunset Metro Station,1500 N Vermont Ave,,Los Angeles,CA,,,,http://www.metro.net/around/rail/red-line/,,,63036,"<strong>Red Line</strong>

<em>10 Bike Rack Spaces
4 Bike Lockers</em>",90027,http://egis3.lacounty.gov/lms/?p=63036,publish,34.098202,-118.291759,2012/03/22 16:56:59+00,,6473341.65358989,1858246.17223556
-118.30916805644,34.1017359664328,61162,Metropolitan Transportation Authority (MTA),80000039,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Hollywood / Western Metro Station,5450 Hollywood Blvd,,Los Angeles,CA,,,,http://www.metro.net/around/rail/red-line/,,,63037,"<strong>Red Line</strong>

<em>36 Bike Rack Spaces
2 Bike Lockers</em>",90028 ,http://egis3.lacounty.gov/lms/?p=63037,publish,34.101736,-118.309168,2012/03/22 16:56:26+00,,6468075.13197072,1859548.00919881
-118.326860055928,34.1016299669363,61163,Metropolitan Transportation Authority (MTA),80000040,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Hollywood / Vine Metro Station,6250 Hollywood Blvd,,Los Angeles,CA,,,,http://www.metro.net/around/rail/red-line/,,,63038,"<strong>Red Line</strong>

Nearby Paid Parking (Independent)<em>
26 Bike Rack Spaces (Future Bike Room)</em>",90038 ,http://egis3.lacounty.gov/lms/?p=63038,publish,34.10163,-118.32686,2012/03/22 16:55:49+00,,6462719.08198731,1859526.37899272
-118.338563056084,34.1015649669424,61164,Metropolitan Transportation Authority (MTA),80000041,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Hollywood / Highland Metro Station,Hollywood Blvd & Highland Ave,,Hollywood,CA,,,,http://www.metro.net/around/rail/red-line/,,,63039,"<strong>Red Line</strong>

Nearby Paid Parking (Independent)",90028,http://egis3.lacounty.gov/lms/?p=63039,publish,34.101565,-118.338563,2012/03/22 16:55:05+00,,6459176.13336456,1859514.45119506
-118.362535056484,34.1393679668976,61165,Metropolitan Transportation Authority (MTA),80000042,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Universal City Metro Station,Lankershim Blvd & Universal Terrace Pkwy,,North Hollywood,CA,,,,http://www.metro.net/around/rail/red-line/,,,63040,"<strong>Red Line</strong>

<em><em>Free On-site Parking – 779 Spaces
Paid Reserved On-site Parking – 125 Spaces</em><em>
16 Bike Rack Spaces
30 Bike Lockers
Kiss &amp; Ride Drop-Off</em></em>",91608,http://egis3.lacounty.gov/lms/?p=63040,publish,34.139368,-118.362535,2012/03/22 16:54:10+00,,6451968.66549605,1873296.88196348
-118.376472056369,34.1687939662569,61166,Metropolitan Transportation Authority (MTA),80000043,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),North Hollywood Metro Station,Lankershim Blvd & Chandler Blvd,,North Hollywood,CA,,,,http://www.metro.net/around/rail/red-line/,,,63041,"<strong>Red Line</strong>

Lankershim Bl/Chandler Bl, North Hollywood 91601
<em>Free On-site Parking – 803 Spaces
Paid Reserved On-site Parking – 298 Spaces</em>
<em>95 Bike Rack Spaces
44 Bike Lockers</em>",91601,http://egis3.lacounty.gov/lms/?p=63041,publish,34.168794,-118.376472,2012/03/22 16:53:40+00,,6447791.51079264,1884020.96747065
-118.104705056521,33.9140159671133,61167,Metropolitan Transportation Authority (MTA),80000054,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Norwalk Metro Station,,,,,,,,,,,63042,Green Line,,http://egis3.lacounty.gov/lms/?p=63042,publish,33.914016,-118.104705,2011/05/03 18:53:23+00,,6529901.52111296,1791105.46465373
-118.140611056022,33.9132169668667,61168,Metropolitan Transportation Authority (MTA),80000055,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Lakewood Metro Station,,,,,,,,,,,63043,Green Line,,http://egis3.lacounty.gov/lms/?p=63043,publish,33.913217,-118.140611,2011/05/03 18:53:23+00,,6519006.78994972,1790827.98390947
-118.209927056415,33.9248629674303,61169,Metropolitan Transportation Authority (MTA),80000056,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Long Beach Metro Station,,,,,,,,,,,63044,Green Line,,http://egis3.lacounty.gov/lms/?p=63044,publish,33.924863,-118.209927,2011/05/03 18:53:23+00,,6497984.12530223,1795102.8903859
-118.23866105654,33.9282539671237,61170,Metropolitan Transportation Authority (MTA),80000057,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Imperial / Wilmington (Rosa Parks) Metro Station,,,,,,,,,,,63045,Green Line,,http://egis3.lacounty.gov/lms/?p=63045,publish,33.928254,-118.238661,2011/05/03 18:53:23+00,,6489269.94784872,1796356.39903373
-118.265175056491,33.927594966906,61171,Metropolitan Transportation Authority (MTA),80000058,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Avalon Metro Station,,,,,,,,,,,63046,Green Line,,http://egis3.lacounty.gov/lms/?p=63046,publish,33.927595,-118.265175,2011/05/03 18:53:23+00,,6481226.02561639,1796136.7328064
-118.281830055818,33.9287769666626,61172,Metropolitan Transportation Authority (MTA),80000059,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Harbor Freeway Metro Station,,,,,,,,,,,63047,Green Line,,http://egis3.lacounty.gov/lms/?p=63047,publish,33.928777,-118.28183,2011/05/03 18:53:23+00,,6476174.73256938,1796580.63480572
-118.29194105602,33.9286179670841,61173,Metropolitan Transportation Authority (MTA),80000060,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Vermont Metro Station,,,,,,,,,,,63048,Green Line,,http://egis3.lacounty.gov/lms/?p=63048,publish,33.928618,-118.291941,2011/05/03 18:53:23+00,,6473107.31252314,1796531.52565198
-118.32649105648,33.9252589672846,61174,Metropolitan Transportation Authority (MTA),80000061,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Crenshaw Metro Station,,,,,,,,,,,63049,Green Line,,http://egis3.lacounty.gov/lms/?p=63049,publish,33.925259,-118.326491,2011/05/03 18:53:23+00,,6462622.31282389,1795341.35841289
-118.352597055709,33.9335189667204,61175,Metropolitan Transportation Authority (MTA),80000062,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Hawthorne Metro Station,,,,,,,,,,,63050,Green Line,,http://egis3.lacounty.gov/lms/?p=63050,publish,33.933519,-118.352597,2011/05/03 18:53:23+00,,6454713.07601772,1798374.09152064
-118.377589056112,33.9299199674505,61176,Metropolitan Transportation Authority (MTA),80000063,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Aviation Metro Station (LAX Shuttle Connection),,,,,,,,,,,63051,Green Line,,http://egis3.lacounty.gov/lms/?p=63051,publish,33.92992,-118.377589,2011/05/03 18:53:23+00,,6447127.08298764,1797091.87984623
-118.387579055617,33.9236339667836,61177,Metropolitan Transportation Authority (MTA),80000064,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Mariposa Metro Station,,,,,,,,,,,63052,Green Line,,http://egis3.lacounty.gov/lms/?p=63052,publish,33.923634,-118.387579,2011/05/03 18:53:23+00,,6444087.76787205,1794815.81418839
-118.38674005642,33.9163749669128,61178,Metropolitan Transportation Authority (MTA),80000065,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),El Segundo Metro Station,,,,,,,,,,,63053,Green Line,,http://egis3.lacounty.gov/lms/?p=63053,publish,33.916375,-118.38674,2011/05/03 18:53:23+00,,6444332.13582164,1792173.13837139
-118.384376056295,33.9060759670012,61179,Metropolitan Transportation Authority (MTA),80000066,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Douglas Metro Station,,,,,,,,,,,63054,Green Line,,http://egis3.lacounty.gov/lms/?p=63054,publish,33.906076,-118.384376,2011/05/03 18:53:23+00,,6445035.04550505,1788422.37159473
-118.369481055912,33.8947039673261,61180,Metropolitan Transportation Authority (MTA),80000067,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Redondo Beach Metro Station,,,,,,,,,,,63055,Green Line,,http://egis3.lacounty.gov/lms/?p=63055,publish,33.894704,-118.369481,2011/05/03 18:53:23+00,,6449539.56044614,1784266.91468257
-118.23561805665,34.0647989670792,61181,Metropolitan Transportation Authority (MTA),80000079,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Chinatown Metro Station,,,,,,,,,,,63057,Gold Line,,http://egis3.lacounty.gov/lms/?p=63057,publish,34.064799,-118.235618,2011/05/03 18:53:23+00,,6490309.5504283,1846045.63364457
-118.219958056637,34.081263967139,61182,Metropolitan Transportation Authority (MTA),80000080,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Lincoln Heights / Cypress Park Metro Station,,,,,,,,,,,63058,Gold Line,,http://egis3.lacounty.gov/lms/?p=63058,publish,34.081264,-118.219958,2011/05/03 18:53:23+00,,6495065.54222864,1852026.79950373
-118.21263105644,34.0877469670134,61183,Metropolitan Transportation Authority (MTA),80000081,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Heritage Square / Arroyo Metro Station,,,,,,,,,,,63059,Gold Line,,http://egis3.lacounty.gov/lms/?p=63059,publish,34.087747,-118.212631,2011/05/03 18:53:23+00,,6497289.19526164,1854381.30660573
-118.205571056476,34.0990669668301,61184,Metropolitan Transportation Authority (MTA),80000082,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Southwest Museum Metro Station,,,,,,,,,,,63060,Gold Line,,http://egis3.lacounty.gov/lms/?p=63060,publish,34.099067,-118.205571,2011/05/03 18:53:23+00,,6499435.26774114,1858496.41222064
-118.193979057022,34.1105009670416,61185,Metropolitan Transportation Authority (MTA),80000083,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Highland Park Metro Station,,,,,,,,,,,63061,Gold Line,,http://egis3.lacounty.gov/lms/?p=63061,publish,34.110501,-118.193979,2011/05/03 18:53:23+00,,6502952.68295039,1862650.47609098
-118.157729056354,34.1152779667379,61186,Metropolitan Transportation Authority (MTA),80000084,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),South Pasadena Metro Station,,,,,,,,,,,63062,Gold Line,,http://egis3.lacounty.gov/lms/?p=63062,publish,34.115278,-118.157729,2014/10/06 17:35:10+00,,6513928.31355813,1864369.71641889
-118.148114056819,34.1334889668485,61187,Metropolitan Transportation Authority (MTA),80000085,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Fillmore Metro Station,,,,,,,,,,,63063,Gold Line,,http://egis3.lacounty.gov/lms/?p=63063,publish,34.133489,-118.148114,2011/05/03 18:53:23+00,,6516848.38120881,1870992.60113898
-118.148173056592,34.1410649663825,61188,Metropolitan Transportation Authority (MTA),80000086,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Del Mar Metro Station,,,,,,,,,,,63064,Gold Line,,http://egis3.lacounty.gov/lms/?p=63064,publish,34.141065,-118.148173,2011/05/03 18:53:23+00,,6516834.59088205,1873749.66977181
-118.147866056704,34.1476679671156,61189,Metropolitan Transportation Authority (MTA),80000087,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Memorial Park Metro Station,,,,,,,,,,,63065,Gold Line,,http://egis3.lacounty.gov/lms/?p=63065,publish,34.147668,-118.147866,2011/05/03 18:53:23+00,,6516931.02080731,1876152.48320764
-118.132604057113,34.1517879666122,61190,Metropolitan Transportation Authority (MTA),80000088,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Lake Metro Station,,,,,,,,,,,63066,Gold Line,,http://egis3.lacounty.gov/lms/?p=63066,publish,34.151788,-118.132604,2011/05/03 18:53:23+00,,6521550.76648906,1877645.38278089
-118.112812056522,34.1524089665807,61191,Metropolitan Transportation Authority (MTA),80000089,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Allen Metro Station,,,,,,,,,,,63067,Gold Line,,http://egis3.lacounty.gov/lms/?p=63067,publish,34.152409,-118.112812,2011/05/03 18:53:23+00,,6527539.11999789,1877864.06607056
-118.08231605702,34.147678966467,61192,Metropolitan Transportation Authority (MTA),80000090,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Sierra Madre Villa Metro Station,,,,,,,,,,,63068,Gold Line,,http://egis3.lacounty.gov/lms/?p=63068,publish,34.147679,-118.082316,2011/05/03 18:53:23+00,,6536764.25541897,1876133.77819256
-118.238058056043,34.0489809673566,61193,Metropolitan Transportation Authority (MTA),80000091,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Little Tokyo / Arts District Metro Station,,,,,,,,,,,63069,Gold Line,,http://egis3.lacounty.gov/lms/?p=63069,publish,34.048981,-118.238058,2011/05/03 18:53:23+00,,6489556.92496505,1840290.91451098
-118.225196056863,34.047594966969,61194,Metropolitan Transportation Authority (MTA),80000092,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Pico / Aliso Metro Station,,,,,,,,,,,63070,Gold Line,,http://egis3.lacounty.gov/lms/?p=63070,publish,34.047595,-118.225196,2011/05/03 18:53:23+00,,6493451.99230614,1839777.54513089
-118.219818056928,34.0472799671111,61195,Metropolitan Transportation Authority (MTA),80000093,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Mariachi Plaza / Boyle Heights Metro Station,,,,,,,,,,,63071,Gold Line,,http://egis3.lacounty.gov/lms/?p=63071,publish,34.04728,-118.219818,2011/05/03 18:53:23+00,,6495080.88963889,1839659.30455373
-118.209729056834,34.0437589669969,61196,Metropolitan Transportation Authority (MTA),80000094,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Soto Metro Station,,,,,,,,,,,63072,Gold Line,,http://egis3.lacounty.gov/lms/?p=63072,publish,34.043759,-118.209729,2011/05/03 18:53:23+00,,6498134.47113013,1838371.41638148
